category_label,question_label,value,avg
categ-01,capabaility-bg,96,85
categ-02,capabaility-dh,94,84
categ-03,capabaility-fa,92,83
categ-04,capabaility-cc,90,82
categ-05,capabaility-ad,89,81
categ-06,capabaility-bd,88,80
categ-07,capabaility-ab,87,79
categ-08,capabaility-hg,84,78
categ-09,capabaility-df,82,77
categ-10,capabaility-fd,81,76
categ-11,capabaility-he,79,75
categ-12,capabaility-ae,76,74
categ-13,capabaility-ed,75,73
categ-14,capabaility-cg,72,72
categ-15,capabaility-bh,70,71
categ-16,capabaility-gg,67,70
categ-17,capabaility-hg,66,69
categ-18,capabaility-db,63,68
categ-19,capabaility-db,61,67
categ-20,capabaility-fh,58,66
categ-21,capabaility-ac,57,65
categ-22,capabaility-ah,56,64
categ-23,capabaility-dc,55,63
categ-24,capabaility-cd,52,62
categ-25,capabaility-dh,51,61
categ-26,capabaility-he,50,60
categ-27,capabaility-bf,47,59
categ-28,capabaility-da,46,58
categ-29,capabaility-fh,43,57
categ-30,capabaility-cf,41,56
categ-31,capabaility-ac,39,55
categ-32,capabaility-cb,36,54
categ-33,capabaility-ad,34,53
categ-34,capabaility-ge,33,52
categ-35,capabaility-dd,32,51
categ-36,capabaility-eb,30,50
categ-37,capabaility-ff,29,49
categ-38,capabaility-gf,28,48
categ-39,capabaility-gh,26,47
categ-40,capabaility-gh,25,46
categ-41,capabaility-eg,22,45
categ-42,capabaility-fh,21,44